LAST SEEN   TYPE      REASON                         OBJECT                                            MESSAGE
5m55s       Normal    NodeHasSufficientPID           node/ip-10-0-177-63.us-east-2.compute.internal    Node ip-10-0-177-63.us-east-2.compute.internal status is now: NodeHasSufficientPID
5m55s       Normal    NodeAllocatableEnforced        node/ip-10-0-177-63.us-east-2.compute.internal    Updated Node Allocatable limit across pods
5m54s       Normal    Synced                         node/ip-10-0-177-63.us-east-2.compute.internal    Node synced successfully
5m51s       Normal    RegisteredNode                 node/ip-10-0-177-63.us-east-2.compute.internal    Node ip-10-0-177-63.us-east-2.compute.internal event: Registered Node ip-10-0-177-63.us-east-2.compute.internal in Controller
5m49s       Normal    Starting                       node/ip-10-0-177-63.us-east-2.compute.internal    
5m34s       Normal    NodeReady                      node/ip-10-0-177-63.us-east-2.compute.internal    Node ip-10-0-177-63.us-east-2.compute.internal status is now: NodeReady
4m46s       Normal    UpdatedLoadBalancer            service/nginx-ingress-nginx-controller            Updated load balancer with new hosts
4m47s       Warning   FailedToUpdateEndpoint         endpoints/prometheus-coordinator-starburst        Failed to update endpoint default/prometheus-coordinator-starburst: Operation cannot be fulfilled on endpoints "prometheus-coordinator-starburst": the object has been modified; please apply your changes to the latest version and try again
4m47s       Warning   FailedToUpdateEndpoint         endpoints/prometheus-worker-starburst             Failed to update endpoint default/prometheus-worker-starburst: Operation cannot be fulfilled on endpoints "prometheus-worker-starburst": the object has been modified; please apply your changes to the latest version and try again
4m45s       Normal    UpdatedLoadBalancer            service/ranger                                    Updated load balancer with new hosts
3m40s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/starburst-worker-hpa      failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
3m40s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/starburst-worker-hpa      invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
3m10s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/starburst-worker-hpa      failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
3m25s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/starburst-worker-hpa      invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
4m47s       Warning   FailedToUpdateEndpoint         endpoints/starburst                               Failed to update endpoint default/starburst: Operation cannot be fulfilled on endpoints "starburst": the object has been modified; please apply your changes to the latest version and try again
4m44s       Normal    UpdatedLoadBalancer            service/starburst                                 Updated load balancer with new hosts
4m47s       Normal    Killing                        pod/worker-5d58dd7855-lmv64                       Stopping container worker
4m47s       Normal    Scheduled                      pod/worker-5d58dd7855-m9fw5                       Successfully assigned default/worker-5d58dd7855-m9fw5 to ip-10-0-181-56.us-east-2.compute.internal
4m46s       Normal    Pulling                        pod/worker-5d58dd7855-m9fw5                       Pulling image "harbor.starburstdata.net/starburstdata/starburst-enterprise-init:1.5.2"
4m38s       Normal    Pulled                         pod/worker-5d58dd7855-m9fw5                       Successfully pulled image "harbor.starburstdata.net/starburstdata/starburst-enterprise-init:1.5.2" in 8.132481687s (8.132494746s including waiting)
4m38s       Normal    Created                        pod/worker-5d58dd7855-m9fw5                       Created container starburst-enterprise-init
4m38s       Normal    Started                        pod/worker-5d58dd7855-m9fw5                       Started container starburst-enterprise-init
4m34s       Normal    Pulling                        pod/worker-5d58dd7855-m9fw5                       Pulling image "harbor.starburstdata.net/starburstdata/starburst-enterprise:423-e.1"
3m53s       Normal    Pulled                         pod/worker-5d58dd7855-m9fw5                       Successfully pulled image "harbor.starburstdata.net/starburstdata/starburst-enterprise:423-e.1" in 41.242857967s (41.242868808s including waiting)
3m53s       Normal    Created                        pod/worker-5d58dd7855-m9fw5                       Created container worker
3m53s       Normal    Started                        pod/worker-5d58dd7855-m9fw5                       Started container worker
3m45s       Warning   Unhealthy                      pod/worker-5d58dd7855-m9fw5                       Startup probe failed: Get "http://10.0.183.98:8080/v1/readiness": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
3m26s       Warning   Unhealthy                      pod/worker-5d58dd7855-m9fw5                       Startup probe failed: HTTP probe failed with statuscode: 503
4m47s       Normal    SuccessfulCreate               replicaset/worker-5d58dd7855                      Created pod: worker-5d58dd7855-m9fw5
