LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
16m         Normal    Created                   pod/nginx-ingress-nginx-controller-6547cdd79b-mz9pt         Created container controller
16m         Normal    Started                   pod/nginx-ingress-nginx-controller-6547cdd79b-mz9pt         Started container controller
16m         Normal    RELOAD                    pod/nginx-ingress-nginx-controller-6547cdd79b-mz9pt         NGINX reload triggered due to a change in configuration
16m         Normal    SuccessfulCreate          replicaset/nginx-ingress-nginx-controller-6547cdd79b        Created pod: nginx-ingress-nginx-controller-6547cdd79b-mz9pt
16m         Normal    UpdatedLoadBalancer       service/nginx-ingress-nginx-controller                      Updated load balancer with new hosts
16m         Normal    CREATE                    configmap/nginx-ingress-nginx-controller                    ConfigMap default/nginx-ingress-nginx-controller
16m         Normal    Killing                   pod/ranger-7855c458d8-kt2qk                                 Stopping container ranger-admin
16m         Normal    Scheduled                 pod/ranger-7855c458d8-t8w76                                 Successfully assigned default/ranger-7855c458d8-t8w76 to ip-10-0-183-212.us-east-2.compute.internal
16m         Normal    Pulling                   pod/ranger-7855c458d8-t8w76                                 Pulling image "harbor.starburstdata.net/starburstdata/starburst-ranger-admin:2.3.0-e.5"
15m         Normal    Pulled                    pod/ranger-7855c458d8-t8w76                                 Successfully pulled image "harbor.starburstdata.net/starburstdata/starburst-ranger-admin:2.3.0-e.5" in 43.375123661s (43.375133952s including waiting)
15m         Normal    Created                   pod/ranger-7855c458d8-t8w76                                 Created container ranger-admin
15m         Normal    Started                   pod/ranger-7855c458d8-t8w76                                 Started container ranger-admin
14m         Warning   Unhealthy                 pod/ranger-7855c458d8-t8w76                                 Startup probe failed: grep: /opt/ranger/starburst-ranger-server-admin-*/ews/logs/start.sh.log: No such file or directory
16m         Normal    SuccessfulCreate          replicaset/ranger-7855c458d8                                Created pod: ranger-7855c458d8-t8w76
16m         Normal    UpdatedLoadBalancer       service/ranger                                              Updated load balancer with new hosts
16m         Normal    UpdatedLoadBalancer       service/starburst                                           Updated load balancer with new hosts
